Domain	Restriction	Tags	Source	Notes			(cont'd)
Discrimination	Licensed artifact(s) shall not discriminate or exploit individuals or groups based on legally protected characteristics and/or vulnerabilities; and neither be deployed or used for those purposes.	discrimination, legally protected characteristics, licensed artifacts	RAIL (IEEE)	locked			
Military	Licensed artifact(s) shall not be used for weaponry or warfare.	military, weapons	RAIL (IEEE)	locked			
Legal	Licensed artifact(s) shall not engage or enable fully automated decision-making that adversely impacts a natural person's legal rights.	automated decision-making, legal rights	RAIL (IEEE)	locked			
Legal	Licensed artifact(s) shall not engage or enable fully automated decision-making that creates, modifies or terminates a binding, enforceable obligation between entities; whether these include natural persons or not.	automated decision-making, legal bindings	RAIL (IEEE)	locked			
Discrimination	Licensed artifact(s) shall not predict a natural person will commit a crime or the likelihood thereof.	crime forcasting, prediction	RAIL (IEEE)	locked			
Disinformation	Licensed artifact(s) shall not create, present or disseminate verifiably false or misleading information for economic gain or to intentionally deceive the public.	misinformation, economic gain, intentional	RAIL (IEEE)	locked			
Privacy	Licensed artifact(s) shall not utilize personal information to infer additional personal information about a natural person, including but not limited to legally protected characteristics, vulnerabilities or categories; unless informed consent from the data subject to collect said inferred personal information for a stated purpose and defined duration is received.	licensed artifacts, personal information, natural person, legally protected characteristics, informed consent,, inferred personal information	RAIL (IEEE)	locked			
Health	Licensed artifact(s) shall not provide medical advice or make clinical decisions without necessary (external) accreditation of the system; unless the use is (i) in an internal research context with independent and accountable oversight and/or (ii) with medical professional oversight that is accompanied by any related compulsory certification and/or safety/quality standard for the implementation of the technology.	medical advice, automated decision making, clinical decisions, licensed artifacts	RAIL (IEEE)	locked			
Disinformation	Licensed artifact(s) shall not synthesize or modify a natural person’s appearance, voice, or other individual characteristics, unless prior informed consent of said natural person is obtained.	licensed artifacts, misinformation, defamation, natural person, appearance, voice, individual characteristics, informed consent	RAIL (IEEE)	locked			
Disinformation	Licensed artifact(s) shall not autonomously interact with a natural person, in text or audio format unless disclosure is given prior to interaction that the system engaging in the interaction is not a natural person.	licensed artifact, autonomous decision making, disclosure, human interaction, deceptive interaction	RAIL (IEEE)	locked			
Health	You agree not to use the Model or Derivatives of the Model to provide medical advice and medical results interpretation.	model, model derivatives, medical advice, medical analysis	Stable Diffusion	Replace "model" with licensed artifact(s)?			
Health	Engage in, promote, incite, facilitate, or assist in the planning or development of activities that present a risk of death or bodily harm to individuals, including use of the licensed artifact(s) related to self-harm or harm to others, including suicide, cutting, and eating disorders.	risk of death or bodily harm to individuals, self-harm, harm to others, eating disorders	Llama2	Slightly adapted: Licensed artifact(s) ≠ Llama 2			
Health	Engage in, promote, incite, facilitate, or assist in the planning or development of activities that present a risk of death or bodily harm to individuals, including use of the licensed artifact(s) related to operation of critical infrastructure, transportation technologies, or heavy machinery.	risk of death or bodily harm to individuals, operating critical infrastructure, transportation technologies, heavy machinery	Llama2	Slightly adapted: Licensed artifact(s) ≠ Llama 2			
Health	Engage in, promote, incite, facilitate, or assist in the planning or development of activities that present a risk of death or bodily harm to individuals, including use of the licensed artifact(s) related to illegal drugs and regulated/controlled substances.	illegal drugs, regulated/controlled substances, risk of death or bodily harm to individuals	Llama2	Slightly adapted: Licensed artifact(s) ≠ Llama 2			
Health	Engage in, promote, incite, facilitate, or assist in the planning or development of activities that present a risk of death or bodily harm to individuals, including use of the licensed artifact(s) related to any content intended to incite or promote violence, abuse, or any infliction of bodily harm to an individual.	content intended to incite or promote violence, abuse, any infliction of bodily harm to an individual	Llama2	Slightly adapted: Licensed artifact(s) ≠ Llama 2			
